tabelcode;datapunt
S.05.01.02.01;R0340C0060
S.05.01.02.01;R0400C0060
S.05.01.02.01;R0410C0060
S.05.01.02.01;R0420C0060
S.05.01.02.01;R0440C0060
S.05.01.02.01;R0500C0060
S.05.01.02.01;R0550C0060
S.05.01.02.01;R0110C0070
S.05.01.02.01;R0120C0070
S.05.01.02.01;R0140C0070
S.05.01.02.01;R0200C0070
S.05.01.02.01;R0210C0070
S.05.01.02.01;R0220C0070
S.05.01.02.01;R0240C0070
S.05.01.02.01;R0300C0070
S.05.01.02.01;R0310C0070
S.05.01.02.01;R0320C0070
S.05.01.02.01;R0340C0070
S.05.01.02.01;R0400C0070
S.05.01.02.01;R0410C0070
S.05.01.02.01;R0420C0070
S.05.01.02.01;R0440C0070
S.05.01.02.01;R0500C0070
S.05.01.02.01;R0550C0070
S.05.01.02.01;R0110C0080
S.05.01.02.01;R0120C0080
S.05.01.02.01;R0140C0080
S.05.01.02.01;R0200C0080
S.05.01.02.01;R0210C0080
S.05.01.02.01;R0220C0080
S.05.01.02.01;R0240C0080
S.05.01.02.01;R0300C0080
S.05.01.02.01;R0310C0080
S.05.01.02.01;R0320C0080
S.05.01.02.01;R0340C0080
S.05.01.02.01;R0400C0080
S.05.01.02.01;R0410C0080
S.05.01.02.01;R0420C0080
S.05.01.02.01;R0440C0080
S.05.01.02.01;R0500C0080
S.05.01.02.01;R0550C0080
S.05.01.02.01;R0110C0090
S.05.01.02.01;R0120C0090
S.05.01.02.01;R0140C0090
S.05.01.02.01;R0200C0090
S.05.01.02.01;R0210C0090
S.05.01.02.01;R0220C0090
S.05.01.02.01;R0240C0090
S.05.01.02.01;R0300C0090
S.05.01.02.01;R0310C0090
S.05.01.02.01;R0320C0090
S.05.01.02.01;R0340C0090
S.05.01.02.01;R0400C0090
S.05.01.02.01;R0410C0090
S.05.01.02.01;R0420C0090
S.05.01.02.01;R0440C0090
S.05.01.02.01;R0500C0090
S.05.01.02.01;R0550C0090
S.05.01.02.01;R0110C0100
S.05.01.02.01;R0120C0100
S.05.01.02.01;R0140C0100
S.05.01.02.01;R0200C0100
S.05.01.02.01;R0210C0100
S.05.01.02.01;R0220C0100
S.05.01.02.01;R0240C0100
S.05.01.02.01;R0300C0100
S.05.01.02.01;R0310C0100
S.05.01.02.01;R0320C0100
S.05.01.02.01;R0340C0100
S.05.01.02.01;R0400C0100
S.05.01.02.01;R0410C0100
S.05.01.02.01;R0420C0100
S.05.01.02.01;R0440C0100
S.05.01.02.01;R0500C0100
S.05.01.02.01;R0550C0100
S.05.01.02.01;R0110C0110
S.05.01.02.01;R0120C0110
S.05.01.02.01;R0140C0110
S.05.01.02.01;R0200C0110
S.05.01.02.01;R0210C0110
S.05.01.02.01;R0220C0110
S.05.01.02.01;R0240C0110
S.05.01.02.01;R0300C0110
S.05.01.02.01;R0310C0110
S.05.01.02.01;R0320C0110
S.05.01.02.01;R0340C0110
S.05.01.02.01;R0400C0110
S.05.01.02.01;R0410C0110
S.05.01.02.01;R0420C0110
S.05.01.02.01;R0440C0110
S.05.01.02.01;R0500C0110
S.05.01.02.01;R0550C0110
S.05.01.02.01;R0110C0120
S.05.01.02.01;R0120C0120
S.05.01.02.01;R0140C0120
S.05.01.02.01;R0200C0120
S.05.01.02.01;R0210C0120
S.05.01.02.01;R0220C0120
S.05.01.02.01;R0240C0120
S.05.01.02.01;R0300C0120
S.05.01.02.01;R0310C0120
S.05.01.02.01;R0320C0120
S.05.01.02.01;R0340C0120
S.05.01.02.01;R0400C0120
S.05.01.02.01;R0410C0120
S.05.01.02.01;R0420C0120
S.05.01.02.01;R0440C0120
S.05.01.02.01;R0500C0120
S.05.01.02.01;R0550C0120
S.05.01.02.01;R0130C0130
S.05.01.02.01;R0140C0130
S.05.01.02.01;R0200C0130
S.05.01.02.01;R0230C0130
S.05.01.02.01;R0240C0130
S.05.01.02.01;R0300C0130
S.05.01.02.01;R0330C0130
S.05.01.02.01;R0340C0130
S.05.01.02.01;R0400C0130
S.05.01.02.01;R0430C0130
S.05.01.02.01;R0440C0130
S.05.01.02.01;R0500C0130
S.05.01.02.01;R0550C0130
S.05.01.02.01;R0130C0140
S.05.01.02.01;R0140C0140
S.05.01.02.01;R0200C0140
S.05.01.02.01;R0230C0140
S.05.01.02.01;R0240C0140
S.05.01.02.01;R0300C0140
S.05.01.02.01;R0330C0140
S.05.01.02.01;R0340C0140
S.05.01.02.01;R0400C0140
S.05.01.02.01;R0430C0140
S.05.01.02.01;R0440C0140
S.05.01.02.01;R0500C0140
S.05.01.02.01;R0550C0140
S.05.01.02.01;R0130C0150
S.05.01.02.01;R0140C0150
S.05.01.02.01;R0200C0150
S.05.01.02.01;R0230C0150
S.05.01.02.01;R0240C0150
S.05.01.02.01;R0300C0150
S.05.01.02.01;R0330C0150
S.05.01.02.01;R0340C0150
S.05.01.02.01;R0400C0150
S.05.01.02.01;R0430C0150
S.05.01.02.01;R0440C0150
S.05.01.02.01;R0500C0150
S.05.01.02.01;R0550C0150
S.05.01.02.01;R0130C0160
S.05.01.02.01;R0140C0160
